amfi_code,scheme_name,alpha,beta,Alpha_Rank,Beta_Rank
119551,SBI Bluechip Fund - Regular Plan - Growth,0.87,0.89,28.0,9.0
119552,SBI Bluechip Fund - Direct Plan - Growth,1.78,0.87,8.0,7.0
119598,SBI Small Cap Fund - Regular Plan - Growth,1.23,0.89,18.0,9.0
119599,SBI Small Cap Fund - Direct Plan - Growth,1.13,1.04,20.0,22.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,1.6,0.22,11.0,1.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.78,0.97,31.0,16.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,1.13,0.97,20.0,16.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.95,0.91,23.0,11.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.9,1.04,25.0,22.0
100025,HDFC Short Term Debt Fund - Regular - Growth,1.98,0.44,1.0,5.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.66,0.96,33.0,15.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.88,1.03,27.0,21.0
120505,ICICI Pru Midcap Fund - Regular - Growth,0.89,1.0,26.0,19.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.55,0.92,34.0,12.0
120507,ICICI Pru Liquid Fund - Regular - Growth,1.85,0.26,3.0,2.0
118632,Nippon India Large Cap Fund - Regular - Growth,0.86,0.88,29.0,8.0
118633,Nippon India Large Cap Fund - Direct - Growth,1.7,1.02,9.0,20.0
118634,Nippon India Small Cap Fund - Regular - Growth,0.8,1.03,30.0,21.0
118635,Nippon India ETF Nifty 50 BeES,1.8,1.04,6.0,22.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.89,0.37,26.0,3.0
120841,Kotak Bluechip Fund - Regular - Growth,1.27,0.93,17.0,13.0
120842,Kotak Emerging Equity Fund - Regular - Growth,1.91,1.0,2.0,19.0
120843,Kotak Flexicap Fund - Regular - Growth,1.85,0.95,3.0,14.0
120844,Kotak Liquid Fund - Regular - Growth,1.52,0.47,12.0,6.0
119092,Axis Bluechip Fund - Regular - Growth,1.41,0.91,15.0,11.0
119093,Axis Bluechip Fund - Direct - Growth,1.43,0.87,13.0,7.0
119094,Axis Midcap Fund - Regular - Growth,1.42,1.0,14.0,19.0
119095,Axis Small Cap Fund - Regular - Growth,0.51,1.0,36.0,19.0
101206,ABSL Frontline Equity Fund - Regular - Growth,1.34,1.03,16.0,21.0
101207,ABSL Small Cap Fund - Regular - Growth,1.84,0.97,4.0,16.0
101208,ABSL Liquid Fund - Regular - Growth,1.18,0.43,19.0,4.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.93,0.9,24.0,10.0
102886,UTI Mid Cap Fund - Regular - Growth,1.12,0.92,21.0,12.0
102887,UTI Flexi Cap Fund - Regular - Growth,1.79,1.0,7.0,19.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.62,0.96,10.0,15.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.7,0.99,9.0,18.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.54,0.98,35.0,17.0
149322,DSP Top 100 Equity Fund - Regular - Growth,1.82,0.91,5.0,11.0
149323,DSP Midcap Fund - Regular - Growth,1.02,0.98,22.0,17.0
149324,DSP Small Cap Fund - Regular - Growth,0.69,0.98,32.0,17.0
