amfi_code,scheme_name,max_drawdown_pct,Drawdown_Rank
125497,HDFC Top 100 Fund - Direct Plan - Growth,-33.5,1.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-33.15,2.0
119094,Axis Midcap Fund - Regular - Growth,-32.38,3.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-32.22,4.0
118634,Nippon India Small Cap Fund - Regular - Growth,-30.87,5.0
119092,Axis Bluechip Fund - Regular - Growth,-27.54,6.0
149323,DSP Midcap Fund - Regular - Growth,-26.99,7.0
118635,Nippon India ETF Nifty 50 BeES,-26.75,8.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,-26.59,9.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,-25.91,10.0
119599,SBI Small Cap Fund - Direct Plan - Growth,-24.78,11.0
119552,SBI Bluechip Fund - Direct Plan - Growth,-24.43,12.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,-24.42,13.0
101207,ABSL Small Cap Fund - Regular - Growth,-23.61,14.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-22.62,15.0
120842,Kotak Emerging Equity Fund - Regular - Growth,-21.92,16.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-21.89,17.0
120505,ICICI Pru Midcap Fund - Regular - Growth,-21.84,18.0
149322,DSP Top 100 Equity Fund - Regular - Growth,-21.7,19.0
119551,SBI Bluechip Fund - Regular Plan - Growth,-21.7,19.0
120843,Kotak Flexicap Fund - Regular - Growth,-19.5,20.0
118633,Nippon India Large Cap Fund - Direct - Growth,-18.14,21.0
120841,Kotak Bluechip Fund - Regular - Growth,-17.86,22.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,-17.41,23.0
119093,Axis Bluechip Fund - Direct - Growth,-17.4,24.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,-17.07,25.0
149324,DSP Small Cap Fund - Regular - Growth,-17.01,26.0
118632,Nippon India Large Cap Fund - Regular - Growth,-16.07,27.0
101206,ABSL Frontline Equity Fund - Regular - Growth,-15.07,28.0
119095,Axis Small Cap Fund - Regular - Growth,-14.45,29.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-13.67,30.0
102886,UTI Mid Cap Fund - Regular - Growth,-13.43,31.0
119598,SBI Small Cap Fund - Regular Plan - Growth,-13.35,32.0
102887,UTI Flexi Cap Fund - Regular - Growth,-12.14,33.0
100025,HDFC Short Term Debt Fund - Regular - Growth,-6.01,34.0
120844,Kotak Liquid Fund - Regular - Growth,-3.81,35.0
101208,ABSL Liquid Fund - Regular - Growth,-3.66,36.0
120507,ICICI Pru Liquid Fund - Regular - Growth,-2.62,37.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-2.3,38.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,-2.23,39.0
